*info,Geographic name,"Incompletely enumerated Indian reserves and Indian settlements, 2006","Population, 2006","Total private dwellings, 2006","Private dwellings occupied by usual residents, 2006"
*info,Canada,T,31612897,13576855,12435520
*note,THIS FILE HAS BEEN TAGGED BY LUKAS SWAN.,,,,
*note,I WILL USE THIS FILE BY DIVIDING THE VALUES BY LAND AREA TO ACHIEVE AN URBAN/RURAL ESTIMATION,,,,
*note,FSA stands for Forward Sortation Area and is included in the CSDDRD,,,,
*header,FSA,incomplete,population,dwellings_total,dwellings_occupied
*units,-,-,count,count,count
*data,X0A,,15713,5086,4387
*data,X0B,,5361,1579,1371
*data,X0C,,8348,2359,2080
*data,X0E,,21858,9274,7323
*data,X0G,,614,233,186
*data,X1A,,19044,7284,6732
*data,Y0A,,1841,1049,772
*data,Y0B,,6009,4316,2681
*data,Y1A,,22522,9931,9162
*blank,,,,,
*note,Note:,,,,
*note,"Incompletely enumerated Indian reserves and Indian settlements, 2006",T = excludes census data for one or more incompletely enumerated Indian reserves or Indian settlements.,,,
*note,"Incompletely enumerated Indian reserves and Indian settlements, 2001",T = excludes census data for one or more incompletely enumerated Indian reserves or Indian settlements.,,,
*note,2001 adjusted population flag,T = adjusted figure due to boundary change.,,,
*note,2001 adjusted total private dwellings flag,T = adjusted figure due to boundary change.,,,
*note,2001 adjusted private dwellings occupied by usual residents flag,T = adjusted figure due to boundary change.,,,
*note,"For further information, refer to: http://www12.statcan.ca/english/census06/data/popdwell/SpecialNotes.cfm.",,,,
*blank,,,,,
*note,Content considerations:,,,,
*note,"The 2006 Census population counts for a particular area represent the number of Canadians whose usual place of residence is in that area, regardless of where they happened to be on Census Day. Also included are any Canadians who were staying in that area on Census Day and who had no usual place of residence elsewhere in Canada, as well as those considered to be non-permanent residents.",,,,
*note,"For most areas, there is little difference between the number of usual residents and the number of people staying in the area on Census Day. For certain places, however, such as tourist or vacation areas, or those including large work camps, the number of people staying in that area at any particular time could significantly exceed the number of usual residents shown here. The population counts include Canadians living in other countries, but do not include foreign residents living in Canada. Given these differences, users are advised not to interpret population counts as being the number of people living in the reported dwellings.",,,,
*note,"The dwelling counts refer to total private dwellings and private dwellings occupied by usual residents in Canada. The census dwelling counts do not include collective dwellings, which are dwellings of a commercial, institutional or communal nature. The usual residents in collective dwellings are, however, included in the population counts.",,,,
*note,"Changes occur to the names, boundaries, and other characteristics of geographic areas (e.g., census subdivisions may amalgamate, or there may be an annexation or a change of name or status). Since the geographic framework is used for census data collection, the geographic reference date must be set several months before the date of the census in order to have these changes made in time. For the 2006 Census, the geographic reference date was January 1, 2006.",,,,
*note,"Users wishing to compare 2006 Census data with those of other censuses should then take into account that the boundaries of geographic areas may change from one census to another. In order to facilitate comparison, the 2001 Census counts are adjusted as needed to take into account boundary changes between the 2001 and 2006 censuses. This symbol may also refer to corrections to the 2001 counts; however, most of these are the result of boundary changes. This symbol is also used to identify areas that have been created since 2001, such as newly incorporated municipalities (census subdivisions) and new designated places (DPLs).",,,,
*note,"Land area is the area in square kilometres of the land-based portions of standard geographic areas. The data are unofficial, and are provided for the sole purpose of calculating population density. Land area data for the standard geographic areas reflect the boundaries in effect on January 1, 2006 (the geographic reference date for the 2006 Census of Canada).",,,,
*note,"For further information, refer to: http://www12.statcan.ca/english/census06/data/popdwell/Content.cfm.",,,,
*blank,,,,,
*note,"Source: Statistics Canada, 2006 Census of Population.",,,,
*note,"How to cite: Statistics Canada. 2007. Population and dwelling counts, for Canada and forward sortation areas as reported by the respondents, 2006 Census - 100% data (table). Population and Dwelling Count Highlight Tables. 2006 Census.",,,,
*note,"Statistics Canada Catalogue no. 97-550-XWE2006002. Ottawa. Released March 13, 2007.",,,,
*note,"http://www12.statcan.ca/english/census06/data/popdwell/Table.cfm?T=1201&SR=1&S=0&O=A&RPP=9999&PR=0&CMA=0 (accessed November 19, 2007)",,,,
