"Temperature at node within multilayer construction (oC)","<summary_variable>building/zone_01/surface_05/node_02/temperature</summary_variable>"
"Plant containment radiant heat flux at surface (W)","<summary_variable>building/zone_01/surface_05/plant_containment_flux</summary_variable>"
"Temperature on zone inside face (oC)","<summary_variable>building/zone_01/surface_05/temperature</summary_variable>"
"External side convective coefficient (W/(m2 K))","<summary_variable>building/zone_01/surface_06/HCe</summary_variable>"
"Internal side convective coefficient (W/(m2 K))","<summary_variable>building/zone_01/surface_06/HCi</summary_variable>"
"Heat transfer through building envelope (above-grade) (W)","<summary_variable>building/zone_01/surface_06/heat_flux/above_grade/net</summary_variable>"
"Temperature at node within multilayer construction (oC)","<summary_variable>building/zone_01/surface_06/node_01/temperature</summary_variable>"
"Temperature at node within multilayer construction (oC)","<summary_variable>building/zone_01/surface_06/node_02/temperature</summary_variable>"
"Plant containment radiant heat flux at surface (W)","<summary_variable>building/zone_01/surface_06/plant_containment_flux</summary_variable>"
"Temperature on zone inside face (oC)","<summary_variable>building/zone_01/surface_06/temperature</summary_variable>"
"Total cooling load ( heat gain trough envelope +  ventilation and infiltration loads ) (W)","<summary_variable>building/zone_01/thermal_loads/cooling/total</summary_variable>"
"Total heating load ( heat loss trough envelope +  ventilation and infiltration loads ) (W)","<summary_variable>building/zone_01/thermal_loads/heating/total</summary_variable>"
"Net load ( heat gain/loss trough envelope +  ventilation and infiltration loads ) (W)","<summary_variable>building/zone_01/thermal_loads/net_load</summary_variable>"
"Zone air-point temperature (oC)","<summary_variable>building/zone_02/air_point/temperature</summary_variable>"
"Heat gained through all components of envelope (W)","<summary_variable>building/zone_02/envelope/all_components/heat_gain</summary_variable>"
"Heat lost through all components of envelope (W)","<summary_variable>building/zone_02/envelope/all_components/heat_loss</summary_variable>"
"Net flux through all components of envelope (W)","<summary_variable>building/zone_02/envelope/all_components/net_flux</summary_variable>"
"Contribution of ceilings to cooling load (W)","<summary_variable>building/zone_02/envelope/ceilings/heat_gain</summary_variable>"
"Contribution of Ceilings to heating load (W)","<summary_variable>building/zone_02/envelope/ceilings/heat_loss</summary_variable>"
"Contribution of ceilings to net heat flux (W)","<summary_variable>building/zone_02/envelope/ceilings/net_flux</summary_variable>"
"Contribution of overhanging floors to cooling load (W)","<summary_variable>building/zone_02/envelope/floors/heat_gain</summary_variable>"
"Contribution of overhanging floors to heating load (W)","<summary_variable>building/zone_02/envelope/floors/heat_loss</summary_variable>"
"Contribution of overhanging floors to net heat flux (W)","<summary_variable>building/zone_02/envelope/floors/net_flux</summary_variable>"
"Contribution of foundation to cooling load (W)","<summary_variable>building/zone_02/envelope/foundation/heat_gain</summary_variable>"
"Contribution of foundation to heating load (W)","<summary_variable>building/zone_02/envelope/foundation/heat_loss</summary_variable>"
"Contribution of foundation to net heat flux (W)","<summary_variable>building/zone_02/envelope/foundation/net_flux</summary_variable>"
"Zone infiltration (air changes per hour) (ACH)","<summary_variable>building/zone_02/envelope/infiltration/air_changes_per_hour</summary_variable>"
"Contribution of infiltration to cooling load (W)","<summary_variable>building/zone_02/envelope/infiltration/heat_gain</summary_variable>"
